id,target,source,action,action_type,location,date,country,year,news
13194,"['Panchayat Ghar', 'Panchayat Ghar']","['Unidentified', 'persons', 'unknown', 'persons']","['ablaze', 'ablaze']","['Facility/Infrastructure Attack', 'Facility/Infrastructure Attack']",['Baramulla'],['November 10'],india,2018,Unidentified persons tried to set ablaze a Panchayat Ghar in Bomai area of Sopore in Baramulla District on November 10 late evening reports Daily Excelsior Locals of the area rushed to the spot soon after news spread in the area that unknown persons are trying to set ablaze Panchayat Ghar in the village
13248,"['contractor', 'vehicles', 'contractor', 'labourers', 'SUV', 'vehicles', 'machines', 'labourers']","['Communist Party of India', 'Maoist', 'CPI', 'Maoist', 'Maoists', 'Maoists', 'Maoists']","['killed', 'a', 'ablaze', 'a', 'attacked', 'weapons', 'ablaze', 'injured', 'beaten']","['Unknown', 'NotSpecified', 'Facility/Infrastructure Attack', 'NotSpecified', 'Armed Assault', 'Armed Assault', 'Facility/Infrastructure Attack', 'Unarmed Assault', 'Unarmed Assault']","['Sukma', 'Sukma']",['November 15'],india,2018,Communist Party of India Maoist CPI Maoist cadres killed a road construction contractor and set ablaze six vehicles on the under construction Misma Chichordguda road under Dornapal Police Station limits in Sukma Districtof Chhattisgarh on November 15 reports The Pioneer Sukma Superintendent of Police SP Abhishek Meena Said the road is being constructed under the Pradhan Mantri Gram Sadak Yojna PMGSY for which contract was given to Sahu Mahamaya Buildcon Company owned by contractor Hari Shankar Sahu He further said “Around a dozen armed Maoists stormed the construction site located about 500 km from the state capital Raipur and started thrashing labourers asking them to stop the work ’’ They attacked Sahu with sharp weapons and fled leaving him dead on the spot he added Before fleeing the Maoists set ablaze Sahu s SUV and other five vehicles and machines engaged in road construction work Three labourers were also injured after being beaten up by the Maoists Sahu was advised by police not to carry out construction work for some time due to security reasons but he ignored the directive and started work on Wednesday November 14 SP Meena said
9315,"['labourers', 'labourers', 'labourers']",,"['injured', 'blast', 'blast', 'injured']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Anantnag'],['January 16'],india,2018,Two labourers identified as Bilal Ganie and Jehangir Wagay were injured in a blast at Khandroo area of Anantnag District on January 16 reports Daily Excelsior The blast occurred inside an Army camp at Khandroo after the labourers stepped over the mine Two labourers were injured They were shifted to nearby hospital where from they have been referred to Srinagar Hospital for specialized treatment
9760,"['Central Reserve Police Force', 'CRPF', 'trooper', 'Police man', 'CRPF', 'CRPF', 'CRPF', 'CRPF', 'man', 'Police man', 'CRPF', 'CRPF', 'CRPF']","['Lashkar e Toiba', 'LeT', 'fidayeen', 'suicide squad', 'fidayeen', 'fidayeen', 'fidayeen', 'LeT', 'fidayeen']","['killed', 'injured', 'fire', 'killed', 'injured']","['Unknown', 'Unknown', 'NotSpecified', 'Unknown', 'Unknown']","['Srinagar', 'Srinagar']","['February 12', 'February 12']",india,2018,A Central Reserve Police Force CRPF trooper identified as Mujahid Khan was killed and a Police man identified as Javid Ahmed was injured as they foiled an attempt by Lashkar e Toiba LeT fidayeen suicide squad to storm into their 23rd battalion camp at Karan Nagar area of Srinagar early on February 12 reports Daily Excelsior A CRPF spokesman said that in the wee hours on February 12 fidayeen carrying bags and armed with AK 47s were seen approaching towards the CRPF camp “The sentries immediately opened fire at around 4 30 am as they noticed two suspicious persons carrying backpacks and weapons” he said The firing from the CRPF forced the militants to enter into an under construction building adjacent to the camp As the Security Forces SFs searched the building the hiding militants opened fire in which one CRPF man was killed and another Police man was injured Police and CRPF rescued around 20 persons including children and women from the area They were taken to safer locations before assault was launched against the fidayeen Army was later called in to take on the two fidayeen who are said to be of LeT Sources said that the fidayeen called their handlers telling them that their mission has failed and they are holed up in a building adjacent to the CRPF camp Huge explosion were heard from the encounter site during the day as Army used grenades and rockets to blast the building However militants were firing at the SFs intermittently The operation was put on hold for the night and cordon around the building was strengthened to prevent militants from fleeing the area Later clashes broke out between the youth and SFs outside CRPF camp in Karan Nagar area of Srinagar in the afternoon adds Daily Excelsior Youth in large numbers assembled near the encounter site and pelted stones on the SFs triggering clashes SFs retaliated by firing teargas to disperse the protesters
9890,"['Border Security Force', 'BSF', 'trooper', 'killed', 'solider']","['Pakistani', 'Pakistani', 'sniper']","['hit', 'sniper fire', 'shot', 'hit', 'injuries']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']",['Kupwara'],['February 20'],india,2018,A Border Security Force BSF jawan trooper identified as Sunil Kumar Murmu was killed after he was hit by a Pakistani sniper fire from across the Line of Control LoC in Tanghdar sector of Kupwara District on February 20 reports Daily Excelsior He was deployed at a forward defended location FDL along the LoC in the area when a Pakistani sniper shot hit him in the abdomen The solider was moved to hospital and later succumbed to injuries at the hospital in the night Army has intensified its vigil in the area along the LoC to prevent any infiltration from the sector The patrols have also been intensified near the fence
16894,"['civilians', 'child', 'Afghan Special Forces', 'Soldiers']",,"['killed', 'injured', 'explosion', 'injured', 'explosion']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Achin', 'Nangarhar']",['October 21'],afghanistan,2018,11 civilians of the same family were killed and one child was injured in a roadside explosion and two Afghan Special Forces Soldiers were injured in a follow up explosion in Makrana village of Achin District of Nangarhar Province on October 21 reports Pajhwok Afghan News
16551,"['soldiers', 'Security Forces', 'Soldiers', 'soldiers']","['Taliban', 'Taliban', 'Taliban']","['killed', 'wounded', 'killed']","['Unknown', 'Unknown', 'Unknown']","['Ghormach', 'Faryab', 'Faryab', 'Faryab', 'Faryab']","['August 12', 'August 12']",afghanistan,2018,At least 17 soldiers were killed and another 25 wounded in clashes between Security Forces and the Taliban militants in Ghormach District in Faryab Province on August 12 Tolo News According to the sources the Taliban attacked an Afghan National Army base commonly known as Chinese camp and have occupied a few strongholds Soldiers and officers from inside the camp said they are under siege and if reinforcement troops are not sent to them they will all be killed Faryab Members of Parliament MPs meanwhile accused government of negligence and said this base had been under siege for a few days Despite calls for help security departments failed to take action the MPs said “We are worried about the soldiers There is also a lot of equipment on the base and if Taliban seize this then they will threaten the northern parts especially Faryab ” Bashir Ahmad Tayyanj an MP from Faryab said Afghanistan Army Chief of Staff Mohammad Sharif Yaftali on August 12 held a press conference in Kabul and confirmed the clashes at the camp but gave no information about casualties “There was a heavy fight and both sides suffered fatalities ” said Yaftali
14200,['girlsâ€™ schools'],"['Unidentified', 'assailants']",['fire'],['Facility/Infrastructure Attack'],['Pishin'],['August 7'],pakistan,2018,Unidentified assailants set two girls’ schools on fire in Khanozai tehsil revenue unit of Pishin District in Balochistan in the night of August 7 reports Dawn Besides there have been no reports of casualties so far as the schools were closed at the time of the incident The Balochistan Education secretary has said that action will be taken against those involved in the incident
9165,"['grocery store', 'non locals']",['Unidentified'],"['exploded', 'grenade', 'injured', 'injured']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Ukhrul'],['January 6'],india,2018,Unidentified persons exploded a grenade at Raj grocery store located at Phungreitang in Ukhrul town on January 6 leaving two non locals injured reports Sangai Express The two injured persons were working as salesmen of the shop and were identified as Anish Kumar from Kanglatongbi and Vijay Kumar from Bihar
15445,,['Taliban'],"['killed', 'bomb', 'exploded']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Mangajak', 'Jowzjan']",['March 4'],afghanistan,2018,Separately four Taliban militants were killed when an under construction bomb exploded pre maturely in Mangajak District of Jowzjan Province reports Pajhwok Afghan News on March 4
