id,target,source,action,action_type,location,date,country,year,news
32216,,,,,,,pakistan,2016,"Islamic State (also known as Daesh) on October 25 claimed responsibility for October 24, 2016 attack on Police Training College (PTC) in provincial capital Quetta that killed 61 persons, reports The News. The attack was carried out by Islamic State fighters , the group s Amaq News Agency said."
30489,"['Indian soldiers', 'Indian soldiers']","['United National Liberation Front of Western South East Asia', 'UNLFW', 'militants']","['attack', 'injured', 'remote controlled bomb', 'fire', 'injured']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Armed Assault', 'Bombing/Explosion']","['Chandel', 'Chandel']","['November 26', 'November 26', 'November 26']",india,2016,"The United National Liberation Front of Western South East Asia (UNLFW), an umbrella grouping of several militant outfits in the northeast, claimed responsibility for the attack of November 26 where five Indian soldiers were seriously injured, reports The Morung Express on November 26. According to the sources the soldiers were patrolling near Sajik Tampak village ofChandel District when a remote controlled bomb detonated near them, while the militants opened fire with automatic rifles. A statement issued by the Independent faction of United Liberation Front of Asom (ULFA I) claimed the responsibility. “A group of Peoples’ Liberation Army (PLA) attacked the 21 Para Regiment of Indian Army between Aisi and Khunmulen near Sajik Tampak in Chandel District on Saturday (November 26) morning. Five or more Indian soldiers are seriously injured,” it said."
32001,"['civilian', 'Christian Colony of Peshawar', 'Security Forces', 'SFs', 'colony', 'SFs']","['suicide bombers', 'terrorists', 'suicide bombers', 'terrorists', 'gunmen', 'attackers']","['killed', 'attacked', 'fire', 'killed', 'Firing', 'attacked', 'suicide jackets', 'suicide jackets', 'killed']","['Bombing/Explosion', 'Bombing/Explosion', 'Armed Assault', 'Bombing/Explosion', 'Armed Assault', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Khyber Pakhtunkhwa', 'KP']",['September 2'],pakistan,2016,"At least one civilian and four suicide bombers were killed after terrorists attacked Christian Colony of Peshawar, the provincial capital of Khyber Pakhtunkhwa (KP) in the morning of September 2 (today) and exchanged fire with Security Forces (SFs), reports Dawn. Director General of Inter Services Public Relations (ISPR) Asim Bajwa confirmed all four suicide bombers were killed and a clearance operation is underway. Firing reportedly began around 6am, when terrorists attacked the colony. The gunmen were wearing suicide jackets, the sources said. Two of the attackers detonated their suicide jackets, and two others were killed by SFs."
27898,,"['Communist Party of India Maoist', 'CPI Maoist']","['shot', 'dead', 'kidnapped']","['Armed Assault', 'Armed Assault', 'Kidnapping']","['Bhamragarh tehsil', 'Gadchiroli']",['June 2'],india,2016,"The Communist Party of India Maoist (CPI Maoist) shot dead Sharad Kursami (30) from Mardmelinga village in Bhamragarh tehsil (revenue unit) in Gadchiroli District on June 2, reports Indian Express. A Police press note said, “Kursami was kidnapped three days ago and was found gunned down near Hukkametta village on Thursday.” It added, “Naxalites Left Wing Extremists, LWEs branded Kursami as a police informer but he was not one. Baffled by a good response to a development rally held recently at Nelgunda, the Naxalites have resorted to violence against civilians."
31623,['son'],['unidentified militants'],['abducted'],['Kidnapping'],['Pishin'],['May 21'],pakistan,2016,"The son of Provincial Local Government Minister, Sardar Mustafa Khan Tareen, was abducted by unidentified militants from the Cadet College area of Pishin District on May 21 (today), reports Dawn. Tareen was elected as a Member of Provincial Army (MPA) from Pishin District in 2013, and is affiliated with Pashtoonkhwa Milli Awami Party."
28762,"['tribals', 'tribals', 'tribals', 'tribals']","['Communist Party of India Maoist', 'CPI Maoist']",['abducted'],['Kidnapping'],"['Malkangiri', 'Odisha', 'Malkangiri', 'Malkangiri']",['July 17'],india,2016,"The Communist Party of India Maoist (CPI Maoist) cadres have allegedly started disrupting agrarian activities of poor tribals, who do not support their violent activity, in Malkangiri District of Odisha, reports The Hindu on August 1. According to sources, the Maoists started adopting this new strategy in Mathili block of Malkangiri District ahead of their ‘Martyrs’ week’ observation from July 28 to August 3. They have till now targeted tribals at remote villages and hamlets in three panchayats (village level local self government institutions) of Mathili block, namely Salimi, Temurupalli and Kartanpalli. Malkangiri Superintendent of Police (SP) Mitrabhanu Mohapatra confirmed these recent developments. To strengthen their threats, the Maoists are abducting tribals from their farms and releasing them after threatening them. Two tribals from Jandaraguda village under Mathili block, Suka Kabasi and Nilaram Madhi, were abducted by Maoists on July 17 and later released. Both had earlier received threats from the Naxalites to stop their agricultural activity and leave the village. Some other former Maoist supporters of the village also were threatened. According to sources, on July 19, Sama Madhi was taken away by the Maoists from Kukurkund village of Temurupalli panchayat and later released."
32733,,"['Janatantrik Tarai Mukti Morcha Krantikari', 'JTMM K']","['exploded', 'improvised explosive device', 'IED', 'explosion', 'explosion']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']","['Rajbiraj', 'Saptari']",['June 14'],nepal,2016,"Janatantrik Tarai Mukti Morcha Krantikari (JTMM K) exploded an improvised explosive device (IED) in Rajbiraj, the District headquarters of Saptari, on June 14, reports The Himalayan Times. In a statement, the underground outfit said it carried out the explosion to pay tribute to its cadres who were martyred. The explosion, however, did not cause any casualty."
31409,['Policeman'],['unidentified armed assailants'],"['shot', 'dead']","['Armed Assault', 'Armed Assault']",['Bannu'],['April 5'],pakistan,2016,A Policeman identified as Ali Badshah was shot dead by unidentified armed assailants while he was on his way to attend his duty near an Imambargah Shia place of commemoration in Bannu District on April 5 reports The News
26350,"['Security Force', 'SF']","['Communist Party of India Maoist', 'CPI Maoist', 'Maoists', 'Maoists', 'Maoists', 'Maoists', 'Ghumsar Nagavali division', 'Divisional Commander']","['killed', 'fire']","['Armed Assault', 'Armed Assault']","['Kalahandi', 'Kalahandi']",['February 11'],india,2016,"A woman Communist Party of India Maoist (CPI Maoist) cadre was killed during an exchange of fire between the Security Force (SF) personnel and the Maoists in a forest in Kalahandi District on February 11, The New Indian Express. The combing team comprising Special Operation Group (SOG) and District Voluntary Force (DVF) also recovered arms from the spot. Kalahandi Superintendent of Police (SP) Brijesh Rai said on receiving intelligence information about movement of Maoists in Kanamanjur Reserve Forest, an intense combing operation was launched. The encounter, that took place near Supel on the bank of river Sagada between 3.30 pm and 4 pm, lasted for about 25 minutes. The Maoists fled into the forest leaving behind the body of the woman cadre, who is yet to be identified, the SP added. It is suspected that the Maoists belong to Bansadhara Ghumsar Nagavali division, which is led by Divisional Commander Nikhil. The items seized by the combing team include 13 haversacks, .303 rifle with magazine and ammunition, two detonators with flexible wire, transistor, knife, solar plate, battery charger, Maoist literature and household articles. Nine SOG and DVF personnel received minor bullet injuries, the SP said."
31612,['worker'],['armed motorcyclists'],"['shot', 'dead', 'wounded', 'attacks']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Khokhrapar Police Station', 'Landhi', 'Karachi', 'Sindh']",['May 20'],pakistan,2016,"A worker of the Muttahida Qaumi Movement (MQM), identified as Fahad Zaki, was shot dead and another, identified as Kamran, was wounded in targeted attacks in within the limits of the Khokhrapar Police Station in Benazir Sports Ground of Landhi Town in Karachi, the provincial capital of Sindh on May 20, reports The Express Tribune. Khokhrapar Station House Officer (SHO) Shahjahan Lashari said, “They armed motorcyclists first targeted Kamran and then Zaki.” “Kamran was targeted when he was parking his motorcycle outside his residence, while Zaki was targeted when he was travelling on a motorcycle and both the incidents occurred within a few minutes of each other .”"
28986,"['Army', 'Army', 'Army positions']","['militants', 'militants']","['fire', 'firing']","['Armed Assault', 'Armed Assault']","['Line of Control', 'LoC', 'Uri', 'Baramulla', 'LoC', 'Uri']",['August 15'],india,2016,"Five militants were killedas the Army foiled a major infiltration bid along the Line of Control (LoC) in Uri sector in Baramulla District on August 15, reports The Hindu. Alert troops noticed some suspicious movement along the LoC in Uri Sector in north Kashmir and challenged the intruders, an Army official said. He said the intruders opened fire at the Army positions which was retaliated by the soldiers. “Two militants were killed in the initial exchange of firing while three others were killed late in the day,” the official said. Arms, ammunition and war like stores were recovered from the encounter site."
31443,"['activist', 'Muttahida Qaumi Movement', 'MQM']",,"['shot', 'dead', 'target killing incident']","['Assassination', 'Assassination', 'Assassination']","['Sector 8 B of North Karachi', 'Karachi', 'Sindh']",['April 11'],pakistan,2016,"An activist of the Muttahida Qaumi Movement (MQM) was shot dead in a target killing incident while he was sitting at a tea hotel in Sector 8 B of North Karachi Town in Karachi, the provincial capital of Sindh on April 11, reports The News."
32132,"['Police party', 'police party']","['gunman', 'attackers']","['fire', 'gun battle']","['Armed Assault', 'NotSpecified']",['EBM Causeway'],['October 2'],pakistan,2016,"An accused, Abdul Maalik Bengali, who had escaped Police custody and was arrested by the Rangers on October 2 has now been killed in an encounter in Korangi area of Karachi, the provincial capital of Sindh, Senior Superintendent of Police (SSP) Korangi Noman Siddiqui said on October 3 (today), reports The News. According to SSP Noman Siddiqui, accused Abdul Maalik Bengali was killed in an encounter when Police party was going to arrest his accomplice Muhammad Imtiaz Rind. Accused Imtiaz Rind and another gunman identified as Faisal Bengali opened fire on police party at the EBM Causeway, ensuing fierce gun battle during which Abdul Maalik was killed, he said. Both the attackers fled the scene, he added. On September 30, Abdul Maalik and his associate Imtiaz Rind had managed to escape after killing a Policeman at the EBM Causeway. Three policemen two constables and a Station Investigation Officer (SIO) of the Korangi Industrial Area police were bringing them back, both accused of involvement in the murder of head constable Yousuf Lodhi on September 20 from an anti terrorism court hearing in the SIO’s private vehicle."
31686,"['Police personnel', 'Security Forces', 'SFs', 'Police personnel', 'police van']","['militants', 'militants', 'armed men', 'armed men', 'militants']","['injuries', 'gun battle', 'fire', 'injured', 'gun battle', 'fire']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']","['Quetta', 'New Sariab', 'Quetta', 'Balochistan', 'Quetta', 'New Sariab']",['June 3'],pakistan,2016,"Four suspected militants were killed and two Police personnel sustained injuries in a gun battle between Security Forces (SFs) and the militants on Quetta Mastung road in New Sariab area of Quetta, the provincial capital of Balochistan, in the evening of June 3, reports Daily Times. The Police sources said that Police personnel signalled to a motorcycle to stop on Quetta Mastung road near Sheikh Zaid Hospital in New Sariab area of the provincial capital who opened fire at the police van, leaving two personnel injured. The police and other law enforcement agencies chased the armed men and found them in an orchard, where a gun battle took place between the armed men and the law enforcement personnel, the police officials said. The exchange of fire resulted in killing of four militants while two of their accomplices managed to flee the scene."
28900,"['Security Force', 'SF', 'SFs']","['Communist Party of India Maoist', 'CPI Maoist', 'Maoists']","['fire', 'fire']","['Armed Assault', 'Armed Assault']","['Rajnandgaon', 'Kohka Police Station']",['August 9'],india,2016,"A woman Communist Party of India Maoist (CPI Maoist) cadre was killed in an exchange of fire with Security Force (SF) personnel in Rajnandgaon District on August 9, reports The Times of India. The skirmish took place on a hill under Kohka Police Station area when a joint team of SFs was carrying out anti Maoist operation, Rajnandgaon Superintendof Police (SP) Prashant Agrawal said. A composite squad of IndoTibetan Border Police (ITBP) and District Force had launched the operation towards interiors of Kohka. While they were cordoning off Nagurtola hill, a group of Maoists opened indiscriminate fire on them leading to a gunbattle. During searching following the encounter, body of a woman Maoist clad in uniform was recovered from the spot."
27809,"['Police commandos', 'Police commandos']","['militants', 'militants']",['fire'],['Armed Assault'],"['Chitmang Hills', 'South Garo Hills']",['May 27'],india,2016,"The Garo National Liberation Army (GNLA) which had planned to establish a new command and training centre in the remote and densely forested Chitmang Hills of South Garo Hills District has been foiled by Police who destroyed the structures on May 27, after an encounter, reports The Shillong Times. Police commandos scouting the Rewak region to identify safe havens of the GNLA came across three militants from the advance party of the outfit late on May 26, afternoon. The three militants are said to have been doing a recee of the area from a hilltop when they spotted the Police commandos below and opened fire. “They were entrenched on a hill top of Chitmang and firing on our personnel who also retaliated. One cadre was hit on the abdomen,” informed District Police Chief Anand Mishra."
28751,['head of village level local self government institution'],['Maoists'],['killed'],['Unknown'],"['Kanker', 'Karekarma', 'Partapur Police']",['August 1'],india,2016,"Further, the Maoists killed a Sarpanch (head of village level local self government institution) in Kanker District, reports The Hindu on August 1. The incident took place in Karekarma village under Partapur Police limits. The Sarpanch was murdered in a “peoples’ court”."
31605,"['Jamiat Ulema e Islam Fazl', 'JUI F']","['unidentified assailants', 'unidentified persons']","['killed', 'fire', 'killing']","['Assassination', 'Assassination', 'Assassination']","['Paroda tehsil', 'Dera Ismail Khan', 'Khyber Pakhtunkhwa']",['May 18'],pakistan,2016,"Jamiat Ulema e Islam Fazl (JUI F) local leader Haji Alam Shah was killed at his residence by unidentified assailants in Paroda tehsil (revenue unit) in Dera Ismail Khan District of Khyber Pakhtunkhwa on May 18, reports The Daily Times. According to Police, three unidentified persons barged into the house of Alam and opened fire at him, killing him on the spot."
30131,"['schools', 'school buildings', 'school buildings', 'school buildings', 'schools', 'schools']",['mysterious persons'],"['torched', 'burnt', 'fire', 'fire']","['Facility/Infrastructure Attack', 'Facility/Infrastructure Attack', 'Facility/Infrastructure Attack', 'Facility/Infrastructure Attack']","['Kashmir', 'Kashmir']",,india,2016,"Daily Excelsiorreports that after 27 schools were torched for last few weeks in Kashmir, the State High Court on October 31 directed the Government to take necessary steps for saving the school buildings from being burnt. Court said “We hope that the mysterious persons will stop burning the school buildings and also hope that the citizens will also help in protecting the school buildings.” “From various quarters, it is learnt that during last about three months, 26 schools in Kashmir were set on fire. Within last 24 hours, 3 schools were targeted and set on fire by the miscreants”, the order issued by Chief Justice read."
25907,['Police team'],"['GNLA', 'GNLA', 'GNLA']",['fire'],['Armed Assault'],['Songsak'],['January 12'],india,2016,"The Songsak Police on January 12 arrested two GNLA cadres, who had come out of the jungle to take food for others in their jungle camp. Following the lead provided by them, a Police team reached the GNLA camp and an exchange of fire followed. Police source added that a GNLA cadre was hit on his leg during the encounter, while others managed to escape from the spot."
29946,"['Naga National Council', 'NNC NA', 'president']","['unidentified assailants', 'assailants']","['shot', 'shooting']","['Assassination', 'Assassination']","['LRC Colony', 'Dimapur', 'Dimapur', 'Dimapur']",['October 18'],india,2016,"Non accordist faction of Naga National Council (NNC NA) ‘president’, Kiumukam Yimchunger was shot at by unidentified assailants at LRC Colony in Dimapur District on October 18, reports Nagaland Post. According to Dimapur Police, the bullet pierced Kiumukam’s nose and exited from the back of his neck. Public Relations Officer (PRO), Dimapur Police, said that right after the incident, Police team rushed to the spot and Kiumukam Yimchunger was admitted at Zion Hospital. Police is yet to establish the reason the behind the shooting and assailants involved."
27281,"['Central Reserve Police Force', 'CRPF', 'CRPF']","['CPI Maoist', 'CPI Maoist']","['killing', 'IED', 'explosion', 'attack', 'attack']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'NotSpecified']",['Dantewada'],['March 30'],india,2016,"The CPI Maoist has claimed responsibility for the killing of seven Central Reserve Police Force (CRPF) personnel in an IED explosion in Dantewada District on March 30, reports The Hindu. “The Malewara attack on the CRPF was a fitting reply to the exploitative Modi Raman Singh regime and revenge for our party’s martyrs. The attack was a part of our PLGA’s (People’s Liberation Guerrilla Army) response to the government of Chhattisgarh’s mission 2016 against us,” said a statement issued by the south sub zonal bureau of the CPI Maoist."
