id,target,source,action,action_type,location,date,country,year,news
32386,"['engineer', 'vehicle', 'engineer', 'engineer', 'vehicle']",,"['blast', 'explosion', 'attacked']","['Bombing/Explosion', 'Bombing/Explosion', 'Facility/Infrastructure Attack']","['Rohri', 'Sukkur', 'Rohri']","['December 14', 'December 14']",pakistan,2016,"A low intensity blast on December 14 targeted a Chinese engineer s vehicle in the jurisdiction of Patni Police Station in Rohri town of Sukkur District, reports Dawn. The engineer remained unhurt in the explosion. Unknown accused attacked a Chinese engineer s vehicle near Rohri. Rescue teams moved to the location , said a police statement.Meanwhile, the Chief of the Army Staff General Qamar Javed Bajwa assured the people of Karachi on December 14 that the change of military command would not affect the Karachi operation as more “efforts will be made to consolidate the gains achieved so far” for peace in Karachi, reports Dawn. It was General Bajwa’s first visit to Karachi after taking over the army command last month. He arrived in the morning and went straight to the mausoleum of Quaid i Azam Mohammad Ali Jinnah to pay homage to the father of the nation."
31048,"['persons', 'journalist', 'Khassadar', 'Khassadar', 'Khassadar', 'Khassadar', 'civilians']","['suicide bomber', 'bomber', 'bomber', 'Tehreek e Taliban Pakistan', 'TTP']","['killed', 'injuries', 'blast', 'killed', 'blast']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",,['January 19'],pakistan,2016,"Twelve persons, including a journalist, were killed while 39 others sustained injuries on January 19 when a suicide bomber targeted the tribal Khassadar force in the Karkhano Market of Khyber Agency in Federally Administered Tribal Areas (FATA), reports The News. The incident occurred hardly 30 metres from the Karkhano checkpost, the entry point to Peshawar from Khyber Agency. The security sources said the bomber parked his motorbike and walked towards the Line Officer Nawab Shah of the Khassadar Force and his Khassadar Force and his guards. “The bomber detonated his explosives vest. The car of the Line Officer and another vehicle caught fire while the roof of a nearby shop caved in after the blast,” said an official. Those killed in the blast included Line Officer Nawab Shah and Mehboob Shah Afridi, president of the Tribal Union of Journalists, Khyber Agency chapter, who was talking to him at the time of explosion. Others who lost their lives were Gul Sahib, Raziq Khan and Waris Khan, all members of the Khassadar force, and civilians Taimur Khan, Mubarak Shah, Malik Khan, Mohammadullah, Ashfaq Khan and the wife of one Shoaib. A child was also among the dead. Meanwhile, the Tehreek e Taliban Pakistan (TTP) claimed responsibility for the attack."
25202,"['Purba Bangla Communist Party', 'PBCP']","['Rapid Action Battalion', 'RAB', 'RAB']","['killed', 'gunfight', 'injured', 'gunfight']","['Armed Assault', 'Armed Assault', 'Armed Assault', 'Armed Assault']",['Tangail'],['April 7'],bangladesh,2016,"Two cadres of Purba Bangla Communist Party (PBCP) were killed in a gunfight with Rapid Action Battalion (RAB) at Jugni Hatkhola area of Tangail District on April 7, reports New Age. The victims were identified as Fazal Driver (40) and Uzzal (35). Two RAB personnel, Corporal Mohammed Ali and Lance Corporal Nuruzzaman, were also injured during the gunfight. One revolver, a foreign pistol, a magazine and seven bullets were recovered from the spot."
31233,"['Frontier Corps', 'FC', 'FC']",,"['wounded', 'Improvised Explosive Device', 'IED', 'blast', 'IED']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Wana'],['February 24'],pakistan,2016,"At least five Frontier Corps (FC) personnel were wounded in an Improvised Explosive Device (IED) blast near a security check post in Wana town of South Waziristan Agency (SWA) on February 24, reports Dawn. FC vehicle was on routine patrol when the IED, planted along the roadside, exploded."
25748,['persons'],"['Tritiya Prastuti Committee', 'TPC', 'TPC', 'TPC', 'TPC']","['assaulted', 'assaulted']","['Unknown', 'Unknown']",['Aurangabad'],['January 3'],india,2016,Tritiya Prastuti Committee TPC cadres assaulted two persons identified as Ramvilas Ram and Ramdeep Ram in Aurangabad District on January 3 reports The Times of India The fear of TPC backlash is such that it forced the panchayat mukhiya head of the village level local self government institution Ramji Ram not to lodge a police complaint with Tandawa Police Station after his 70yearold father and brother were assaulted The mukhiya said TPC cadres demanded 20 per cent of the grant sanctioned by the government for welfare schemes in his panchayat TPC is a splinter group of the Communist Party of IndiaMaoist CPIMaoist
32112,"['troops', 'soldiers']",['suspected militants'],['fire'],['Armed Assault'],['Afghanistan'],['September 26'],pakistan,2016,"Pakistani troops deployed at the Salala Post in Mohmand Agency on September 26 returned fire after coming under attack by suspected militants based in Afghanistan, reports The News. Official sources said the Pakistani soldiers didn’t suffer any losses or damage to property."
27718,['vehicles'],['Maoists'],['torched'],['Facility/Infrastructure Attack'],['Dumka'],['May 21'],india,2016,"in another incident, on May 21, Maoists torched three vehicles of a stone crusher unit in Dumka District allegedly because they were not paid the levy money they demanded, reports The New Indian Express."
26125,['contractor'],['Unidentified militants'],"['exploded', 'Improvised Explosive Device', 'IED']","['Bombing/Explosion', 'Bombing/Explosion', 'Bombing/Explosion']",['Yaiskul Sougaijam Leirak'],"['January 27', 'January 27']",india,2016,"Unidentified militants exploded a bomb at the residence of a contractor of Government’s Pradhan Mantri Gram Sadak Yojana (PMGSY) scheme, Sinam Dijen in Yaiskul Sougaijam Leirak Nambul Mapal under Imphal Police Station on January 27, reports The Sangai Express. However, no casualties were reported. According to the available information, the bomb is suspected to be an Improvised Explosive Device (IED).A head constable, identified as Thounaojam Herojit Singh, who had claimed to have killed Chungkham Sanjit, a former militant, in a controversial case on July 23, 2009 on the orders given by the then Additional Superintendent of Police (ASP), Imphal West, Akoijam Jhalajit Singh, disappeared after he boarded an Imphalbound flight at Delhi Airport on January 27, reports The Telegraph. His family members fear that he could have been abducted by unidentified suspects after landing at Imphal airport on the same day."
30786,['Army jawan'],,"['injuries', 'explosion']","['Bombing/Explosion', 'Bombing/Explosion']",['Poonch'],['December 19'],india,2016,"An Army jawan suffered serious injuries in a land mine explosion near the Line of Control (LoC) in Mendhar sector of Poonch District on December 19, reports Daily Excelsior. Official sources said that Sepoy Mohinder Singh of 21 Punjab was deployed at a forward post. During patrol at Fagwari Galli, he over stepped a mine, resulting into massive blast. His right foot was blown up and legs sustained severe inquiries."
29120,"['Security Forces', 'SFs']","['Communist Party of India Maoist', 'CPI Maoist']","['killed', 'fire']","['Armed Assault', 'Armed Assault']","['Sukma', 'Sukma']",['August 24'],india,2016,"A Communist Party of India Maoist (CPI Maoist) cadre was on August 24 killed in an exchange of fire with Security Forces (SFs) personnel in Sukma District, reports PTI. The skirmish took place near Ponga Bhejji village when a joint team of Special Task Force (STF) and district force was out on an anti Maoist operation in Dornapal Police Station area, Sukma Superintendent of Police (SP) Indira Kalyan Elesela said. During searches, the body of a male Maoist clad in a uniform was recovered along with one automatic pistol and one muzzle loading gun, the SP added. The identity of the Maoist is yet to be established as operation is still underway in the region."
